,Town,Warren 2018,Warren 2018%,Diehl 2018,Diehl 2018 %,Ayyudarai 2018,Ayyudarai 2018 %,Markey 2020,Markey 2020%,O'Connor 2020,O'Connor 2020 %,Sen_diff_Dem,Sen_diff_Rep
29,Hopkinton,"4,510",57.5,"3,110",39.6,230,2.90%,"6,558",65.7,"3,424",34.3,8.200000000000003,-5.300000000000004
30,Hudson,"4,958",57.0,"3,415",39.2,329,3.80%,"7,178",65.0,"3,866",35.0,8.0,-4.200000000000003
31,Lancaster,"1,578",48.0,"1,601",48.0,139,4.20%,"2,265",54.9,"1,864",45.1,6.899999999999999,-2.8999999999999986
32,Lawrence,"12,079",81.1,"2,449",16.4,363,2.40%,"17,274",78.5,"4,729",21.5,-2.5999999999999943,5.100000000000001
33,Lexington,"11,757",75.4,"3,349",21.5,497,3.20%,"15,718",80.4,"3,833",19.6,5.0,-1.8999999999999986
34,Lincoln,"2,685",78.0,653,19.0,103,3%,"3,294",80.8,783,19.2,2.799999999999997,0.1999999999999993
35,Littleton,"3,083",59.4,"1,919",37.0,191,3.70%,"4,333",66.5,"2,183",33.5,7.100000000000001,-3.5
36,Lowell,"16,474",64.8,"7,930",31.2,"1,017",4%,"24,762",70.1,"10,554",29.9,5.299999999999997,-1.3000000000000007
37,Lunenburg,"2,518",48.2,"2,512",48.1,191,3.70%,"3,818",56.3,"2,960",43.7,8.099999999999994,-4.399999999999999
38,Marlborough,"8,340",58.6,"5,332",37.4,569,4%,"12,442",66.7,"6,224",33.3,8.100000000000001,-4.100000000000001
39,Maynard,"3,584",66.3,"1,622",30.0,203,3.80%,"4,778",73.7,"1,709",26.3,7.400000000000006,-3.6999999999999993
40,Merrimac,"1,671",49.7,"1,506",44.8,183,5.40%,"2,482",59.2,"1,714",40.8,9.5,-4.0
41,Methuen,"8,715",50.2,"7,946",45.8,694,4%,"14,561",59.1,"10,065",40.9,8.899999999999999,-4.899999999999999
42,North Andover,"6,689",51.3,"5,800",44.5,543,4.20%,"10,706",60.7,"6,932",39.3,9.400000000000006,-5.200000000000003
43,Northborough,"4,305",56.9,"3,007",39.7,256,3.40%,"5,993",65.0,"3,226",35.0,8.100000000000001,-4.700000000000003
44,Pepperell,"2,466",45.6,"2,731",50.5,215,4%,"3,786",54.1,"3,210",45.9,8.5,-4.600000000000001
45,Shirley,"1,368",49.3,"1,300",46.8,109,3.90%,"2,102",59.0,"1,458",41.0,9.700000000000003,-5.799999999999997
46,Southborough,"2,910",57.3,"2,002",39.4,164,3.20%,"4,202",66.3,"2,136",33.7,9.0,-5.699999999999996
47,Sterling,"1,814",43.0,"2,246",53.2,158,3.70%,"2,714",52.1,"2,493",47.9,9.100000000000001,-5.300000000000004
48,Stow,"2,585",64.3,"1,321",32.9,112,2.80%,"3,372",70.3,"1,424",29.7,6.0,-3.1999999999999993
49,Sudbury,"6,223",66.5,"2,847",30.4,284,3%,"8,536",72.1,"3,302",27.9,5.599999999999994,-2.5
50,Tewksbury,"6,053",43.5,"7,177",51.6,673,4.80%,"10,029",54.7,"8,295",45.3,11.200000000000003,-6.300000000000004
51,Townsend,"1,670",41.9,"2,170",54.4,149,3.70%,"2,631",50.6,"2,569",49.4,8.700000000000003,-5.0
52,Tyngsborough,"2,445",45.3,"2,736",50.7,211,3.90%,"3,931",53.7,"3,385",46.3,8.400000000000006,-4.400000000000006
53,Wayland,"5,164",70.3,"1,940",26.4,246,3.30%,"6,801",75.5,"2,210",24.5,5.200000000000003,-1.8999999999999986
54,West Boylston,"1,776",48.2,"1,762",47.8,148,4%,"2,699",58.5,"1,914",41.5,10.299999999999997,-6.299999999999997
55,West Newbury,"1,428",55.3,"1,050",40.7,103,4%,"1,950",61.8,"1,203",38.2,6.5,-2.5
56,Westborough,"4,828",61.8,"2,729",35.0,251,3.20%,"7,193",69.5,"3,151",30.5,7.700000000000003,-4.5
57,Westford,"6,572",57.0,"4,648",40.0,393,3.40%,"9,201",64.5,"5,075",35.5,7.5,-4.5
58,Westminster,"1,695",43.8,"1,999",51.7,175,4.50%,"2,532",51.9,"2,346",48.1,8.100000000000001,-3.6000000000000014
59,Wilmington,"5,031",45.5,"5,642",51.0,394,3.60%,"8,181",57.0,"6,164",43.0,11.5,-8.0
60,Winchendon,"1,503",43.0,"1,852",53.0,164,4.70%,"2,456",50.0,"2,455",50.0,7.0,-3.0
